compid;composito;holeid;midx;midy;midz;SampleID;Campana;Starkey_min;BWI_kwh_tc;BWI_kwh_tm;Ai_;Rec_Cut_pct;Rec_As_pct;Rec_Ag_pct;Rec_Zn_pct;Rec_Peso_pct;VelSed_CF12_mh;pct_Sol_FinalesCF;VelSed_SFLO_mh;Sol_FinalesSF_pct;YS54pct_pa;YS57pct_pa;YS60pct_pa;pH_Natural;Lito;Alte;PISO;UGE;IND88;UGM_Starkey;UGM_Wi;UGM_Rec_Cu;UGM_Rec_As;UGM_Rec_Ag;UGM_Rec_Zn;UGM_VelSed;UGM_YS;k Cu Klimpel;k Ag Klimpel;k Cu GZ;k Ag GZ;RecMasica CF_12 Min;RecMasica TF_12 min
compid;PGD19_LAB_184;MHDD0195;9179264;24130655;2139665;MGM-52776;PGD2019;29;13.3;14.7;-99;90.9;62.2;50.7;90.4;14.65;8.9;45.51;0.08;29.05;11.47;25.15;41.09;-99;Dacita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;1.626667907;-99;0.702451604;0.40450493;14.82556512;14.64907407
compid;PGD19_LAB_185;MHDD0195;9183725;24130856;2130162;MGM-52777;PGD2019;37.9;14.4;15.9;-99;91.5;80.4;75.9;93.7;12.49;16.7;50.03;0.1;36.94;4.94;7.92;23.18;-99;Dacita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;3.419085683;-99;1.259332354;1.26149077;12.80491786;12.48981481
compid;PGD19_LAB_186;MHDD0195;9156556;24129259;2187810;MGM-52778;PGD2019;38.1;13.6;15;-99;89.9;75.7;77.3;90.2;17.58;3.8;43.98;0.07;30.53;15.74;17.83;20.15;-99;Andesita;Filica;BAS;C5;1;3;3;4;4;5;2;4;2;1.826638407;-99;0.720147701;0.69267891;17.63703096;17.58240741
compid;PGD19_LAB_187;MHDD0195;9162016;24129480;2176290;MGM-52779;PGD2019;13.5;10.8;11.9;-99;82.4;62.1;53.5;54.5;30.12;6.5;45.51;0.18;34.13;13.67;21.36;28.01;-99;Andesita;Filica;BAS;C5;0;3;3;5;4;5;2;4;2;0.375676846;-99;0.185224169;0.19956931;27.82650072;30.11944444
compid;PGD19_LAB_188;MHDD0195;9170338;24130014;2158663;MGM-52780;PGD2019;21.7;11.1;12.2;-99;83.1;74;58.4;80.2;34.46;0.6;35.92;0.07;24.38;2.99;9.49;19.56;-99;Andesita;Filica;BAS;C5;0;3;3;5;4;5;2;4;2;0.387667101;-99;0.176112497;0.16489973;34.16736793;34.45833333
compid;PGD19_LAB_189;MHDD0195;9175761;24130412;2147131;MGM-52781;PGD2019;25.2;11.7;12.9;-99;86.5;64.7;62.5;76.4;20;0.6;34.09;0.11;25.9;5.97;19.53;38.6;-99;Andesita;Filica;BAS;C5;0;3;3;5;4;5;2;4;2;1.071517405;-99;0.435420888;0.40525788;20.67866517;19.99814815
compid;PGD19_LAB_190;MHDD0243;8847425;24101442;2096481;MGM-52782;PGD2019;41.8;12.8;14.2;-99;94;90.2;74.9;71.3;12.62;6.7;51.84;0.07;32;12.85;16.15;27.51;-99;Brecha Volcanica;Filica;AAS;C1;1;3;3;4;3;4;3;5;3;4.143773982;-99;1.460381661;1.11021853;12.09508077;12.62407407
compid;PGD21_LAB_001;MHDD0415;8785346;24047143;2021302;PGD21_LAB_001;PGD2021;50.78;15.68;17.29;-99;96.42;97.87;87.42;90.9;12.42;0.95;38.9;0.037;21.36;5.62;10.53;12;8.23;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;2.852651141;-99;1.073436821;0.89043798;11.72230087;12.41823404
compid;PGD21_LAB_002;MHDD0421;8793115;24318930;2002252;PGD21_LAB_002;PGD2021;51.92;15.93;17.56;0.08;95.17;87.28;87.46;71.26;14.24;4.17;49.4;0.074;34.37;2.14;3.93;6.47;7.7;Dique de Porfido Dacítico;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;2.076579825;-99;0.81997218;0.67028432;15.04744062;14.24205945
compid;PGD21_LAB_003;MHDD0419;8913725;24031087;2052756;PGD21_LAB_003;PGD2021;67.56;16;17.64;-99;95.57;96.5;87.37;85.19;20.39;2.52;47.08;0.053;30.76;8.02;13.23;17.32;7.92;Porfido Feldespático;Filica;AAS;C1;1;3;3;4;3;4;3;5;3;2.105798848;-99;0.849272824;0.58007975;19.46556735;20.38992313
compid;PGD21_LAB_004;MHDD0421;8786483;24319368;2019785;PGD21_LAB_004;PGD2021;44.41;13.93;15.36;0.11;97.84;98.47;93.54;92.58;20.27;3.01;48.02;0.053;31.28;6.23;10.39;12.84;7.86;Andesita;Filica;AAS;C5;1;3;3;3;3;3;3;6;2;3.603320422;-99;1.29003421;1.10529522;19.39923375;20.27042045
compid;PGD21_LAB_005;MHDD0422;8884988;24247746;2036514;PGD21_LAB_005;PGD2021;44.87;14.5;15.98;-99;95.55;91.61;68.7;76.58;13.55;0.71;36.58;0.041;23.71;10.69;24.06;39.01;8.03;Porfido Feldespático;Filica;AAS;C1;1;3;3;4;3;4;3;5;3;2.440875105;-99;0.970567478;0.70413012;13.16676785;13.55462963
compid;PGD21_LAB_006;MHDD0422;8879561;24247899;2048874;PGD21_LAB_006;PGD2021;54.47;13.92;15.35;-99;95.69;90.33;67.61;69.05;14.82;2.06;43.32;0.048;28.08;6.83;10.01;16.8;7.89;Porfido Feldespático;Filica;BAS;C1;1;3;3;4;4;6;2;4;3;2.865229607;-99;1.109976103;0.92052978;14.84258846;14.81937755
compid;PGD21_LAB_007;MHDD0415;8774803;24047272;2041178;PGD21_LAB_007;PGD2021;33.17;15.19;16.74;-99;91.95;83.29;75.62;78.92;11.04;5.31;51.55;0.096;38.72;2.22;6.46;9.94;7.42;Dique de Porfido Dacítico;Argilica Avanzada;AAS;C1;1;4;4;4;3;4;3;5;6;0.821557926;-99;0.353870423;0.31295341;10.20879947;11.03956268
compid;PGD21_LAB_008;MHDD0415;8779363;24047205;2032561;PGD21_LAB_008;PGD2021;38.97;14.91;16.43;0.11;92.97;91.73;76.2;84.44;14.42;4.33;50.26;0.083;37.63;3.51;9.82;10.38;7.4;Granodiorita;Argilica Avanzada;AAS;C1;1;4;4;4;3;4;3;5;6;1.902321182;-99;0.762844528;0.70638513;15.68765715;14.41933691
compid;PGD21_LAB_009;MHDD0416;8775509;24114231;1989418;PGD21_LAB_009;PGD2021;42.84;13.32;14.68;-99;91.06;86.2;79.35;89.49;13.8;6.25;51.66;0.095;41.33;3.03;4.34;7.93;7.2;Andesita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;6;5;0.602042852;-99;0.250195499;0.23067366;14.02942132;13.80348213
compid;PGD21_LAB_010;MHDD0416;8777709;24114029;1983840;PGD21_LAB_010;PGD2021;45.16;13.13;14.48;0.11;82.16;90.74;79.75;91.94;32.82;25.08;58.29;0.362;52.73;0.71;2.87;5.6;7.35;Brecha Hidrotermal;Argilica Avanzada;AAS;BHX;0;5;5;5;3;3;3;23;4;0.474238232;-99;0.185737806;0.1951614;33.10461527;32.82407407
compid;PGD21_LAB_011;MHDD0426;9108006;24519509;1893974;PGD21_LAB_011;PGD2021;26.77;14.52;16;0.1;98.35;87.05;94.79;96.45;19.94;1.86;44.42;0.052;29.61;2.62;4.3;13.19;8.41;Porfido Feldespático;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;2.293365405;-99;0.840327826;0.69664355;18.38606186;19.93515516
compid;PGD21_LAB_012;MHDD0415;8771303;24047357;2047811;PGD21_LAB_012;PGD2021;42.06;15.15;16.7;-99;96.15;94.09;87.56;91.94;15.29;3.4;47.36;0.062;31.44;6.94;9.18;17.05;7.82;Porfido Feldespático;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;3.246757678;-99;1.213332498;1.1646051;14.81340618;15.28773978
